PGPR,Dpi,Rep,Gene,Cq
Control,4,3,OPR3,24.96
P. fluorescens,7,1,OPR3,26.34
P. fluorescens,7,2,OPR3,26.14
P. fluorescens,7,3,OPR3,26.2
S. marcescens,7,1,OPR3,26.02
S. marcescens,7,2,OPR3,26.72
S. marcescens,7,3,OPR3,26.37
B. subtilis,7,1,OPR3,26.01
B. subtilis,7,2,OPR3,25.98
B. subtilis,7,3,OPR3,26.43
Control,7,1,OPR3,26.37
Control,7,2,OPR3,25.05
Control,7,3,OPR3,24.72
P. fluorescens,10,1,OPR3,26.3
P. fluorescens,10,2,OPR3,26.22
P. fluorescens,10,3,OPR3,26.14
S. marcescens,10,1,OPR3,25.36
S. marcescens,10,2,OPR3,25.35
S. marcescens,10,3,OPR3,25.63
B. subtilis,10,1,OPR3,26.15
B. subtilis,10,2,OPR3,26.03
B. subtilis,10,3,OPR3,26.25
Control,10,1,OPR3,25.34
Control,10,2,OPR3,25.37
Control,10,3,OPR3,25.67
P. fluorescens,1,1,PDF1.2,27.32
P. fluorescens,1,2,PDF1.2,27.57
P. fluorescens,1,3,PDF1.2,27.61
S. marcescens,1,1,PDF1.2,27.49
S. marcescens,1,2,PDF1.2,27.29
S. marcescens,1,3,PDF1.2,27.61
B. subtilis,1,1,PDF1.2,28.58
B. subtilis,1,2,PDF1.2,28.51
B. subtilis,1,3,PDF1.2,28.51
Control,1,1,PDF1.2,28.61
Control,1,2,PDF1.2,28.61
Control,1,3,PDF1.2,28.71
P. fluorescens,4,1,PDF1.2,27.5
P. fluorescens,4,2,PDF1.2,27.41
P. fluorescens,4,3,PDF1.2,27.48
S. marcescens,4,1,PDF1.2,27.04
S. marcescens,4,2,PDF1.2,26.97
S. marcescens,4,3,PDF1.2,27.14
B. subtilis,4,1,PDF1.2,26.87
B. subtilis,4,2,PDF1.2,26.86
B. subtilis,4,3,PDF1.2,26.42
Control,4,1,PDF1.2,27.43
Control,4,2,PDF1.2,27.56
Control,4,3,PDF1.2,27.83
P. fluorescens,7,1,PDF1.2,28.06
P. fluorescens,7,2,PDF1.2,28.12
P. fluorescens,7,3,PDF1.2,28.18
S. marcescens,7,1,PDF1.2,27.64
S. marcescens,7,2,PDF1.2,28.31
S. marcescens,7,3,PDF1.2,28.25
B. subtilis,7,1,PDF1.2,27.4
B. subtilis,7,2,PDF1.2,27.69
B. subtilis,7,3,PDF1.2,27.75
Control,7,1,PDF1.2,27.47
Control,7,2,PDF1.2,27.51
Control,7,3,PDF1.2,27.77
P. fluorescens,10,1,PDF1.2,27.21
P. fluorescens,10,2,PDF1.2,26.9
P. fluorescens,10,3,PDF1.2,27.04
S. marcescens,10,1,PDF1.2,27.62
S. marcescens,10,2,PDF1.2,27.54
S. marcescens,10,3,PDF1.2,27.96
B. subtilis,10,1,PDF1.2,26.65
B. subtilis,10,2,PDF1.2,27.4
B. subtilis,10,3,PDF1.2,27.26
Control,10,1,PDF1.2,27.62
Control,10,2,PDF1.2,27.93
Control,10,3,PDF1.2,28.09
P. fluorescens,1,1,RdR1,27.14
P. fluorescens,1,2,RdR1,27.02
P. fluorescens,1,3,RdR1,27.15
S. marcescens,1,1,RdR1,26.03
S. marcescens,1,2,RdR1,26.02
S. marcescens,1,3,RdR1,26.03
B. subtilis,1,1,RdR1,26.76
B. subtilis,1,2,RdR1,26.89
B. subtilis,1,3,RdR1,26.98
Control,1,1,RdR1,26.76
Control,1,2,RdR1,26.76
Control,1,3,RdR1,27.08
P. fluorescens,4,1,RdR1,26.28
P. fluorescens,4,2,RdR1,26.1
P. fluorescens,4,3,RdR1,26.17
S. marcescens,4,1,RdR1,25.44
S. marcescens,4,2,RdR1,25.57
S. marcescens,4,3,RdR1,25.65
B. subtilis,4,1,RdR1,25.59
B. subtilis,4,2,RdR1,25.78
B. subtilis,4,3,RdR1,25.75
Control,4,1,RdR1,25.7
Control,4,2,RdR1,25.74
Control,4,3,RdR1,25.88
P. fluorescens,7,1,RdR1,24.47
P. fluorescens,7,2,RdR1,24.39
P. fluorescens,7,3,RdR1,24.44
S. marcescens,7,1,RdR1,25.24
S. marcescens,7,2,RdR1,25.16
S. marcescens,7,3,RdR1,25.17
B. subtilis,7,1,RdR1,24.89
B. subtilis,7,2,RdR1,25.07
B. subtilis,7,3,RdR1,24.99
Control,7,1,RdR1,24.52
Control,7,2,RdR1,24.61
Control,7,3,RdR1,24.51
P. fluorescens,10,1,RdR1,25.08
P. fluorescens,10,2,RdR1,25.16
P. fluorescens,10,3,RdR1,25.28
S. marcescens,10,1,RdR1,24.48
S. marcescens,10,2,RdR1,24.54
S. marcescens,10,3,RdR1,24.57
B. subtilis,10,1,RdR1,25.37
B. subtilis,10,2,RdR1,25.59
B. subtilis,10,3,RdR1,25.73
Control,10,1,RdR1,25.86
Control,10,2,RdR1,25.59
Control,10,3,RdR1,25.59
P. fluorescens,1,1,UBQ,18.81
P. fluorescens,1,2,UBQ,18.9
P. fluorescens,1,3,UBQ,18.79
S. marcescens,1,1,UBQ,18.54
S. marcescens,1,2,UBQ,18.45
S. marcescens,1,3,UBQ,18.62
B. subtilis,1,1,UBQ,18.97
B. subtilis,1,2,UBQ,19.02
B. subtilis,1,3,UBQ,18.89
Control,1,1,UBQ,18.5
Control,1,2,UBQ,18.46
Control,1,3,UBQ,18.38
P. fluorescens,4,1,UBQ,18.87
P. fluorescens,4,2,UBQ,19.01
P. fluorescens,4,3,UBQ,18.78
S. marcescens,4,1,UBQ,18.46
S. marcescens,4,2,UBQ,18.65
S. marcescens,4,3,UBQ,18.65
B. subtilis,4,1,UBQ,18.5
B. subtilis,4,2,UBQ,18.45
B. subtilis,4,3,UBQ,18.55
Control,4,1,UBQ,19.04
Control,4,2,UBQ,18.99
Control,4,3,UBQ,18.94
P. fluorescens,7,1,UBQ,18.16
P. fluorescens,7,2,UBQ,18.21
P. fluorescens,7,3,UBQ,18.3
S. marcescens,7,1,UBQ,18.32
S. marcescens,7,2,UBQ,18.38
S. marcescens,7,3,UBQ,18.41
B. subtilis,7,1,UBQ,18.73
B. subtilis,7,2,UBQ,18.72
B. subtilis,7,3,UBQ,18.77
Control,7,1,UBQ,18.65
Control,7,2,UBQ,18.75
Control,7,3,UBQ,18.62
P. fluorescens,10,1,UBQ,18.4
P. fluorescens,10,2,UBQ,18.48
P. fluorescens,10,3,UBQ,18.38
S. marcescens,10,1,UBQ,18.91
S. marcescens,10,2,UBQ,18.2
S. marcescens,10,3,UBQ,18.23
B. subtilis,10,1,UBQ,18.92
B. subtilis,10,2,UBQ,18.93
B. subtilis,10,3,UBQ,18.92
Control,10,1,UBQ,18.93
Control,10,2,UBQ,18.95
Control,10,3,UBQ,18.25
P. fluorescens,1,4,PR1,27.89
P. fluorescens,1,5,PR1,28.02
P. fluorescens,1,6,PR1,28.01
S. marcescens,1,4,PR1,26.22
S. marcescens,1,5,PR1,26.53
S. marcescens,1,6,PR1,26.36
B. subtilis,1,4,PR1,25.86
B. subtilis,1,5,PR1,25.79
B. subtilis,1,6,PR1,25.83
Control,1,4,PR1,26.36
Control,1,5,PR1,26.41
Control,1,6,PR1,26.41
P. fluorescens,4,4,PR1,25.24
P. fluorescens,4,5,PR1,25.23
P. fluorescens,4,6,PR1,25.32
S. marcescens,4,4,PR1,26.79
S. marcescens,4,5,PR1,26.79
S. marcescens,4,6,PR1,26.57
B. subtilis,4,4,PR1,25.75
B. subtilis,4,5,PR1,25.86
B. subtilis,4,6,PR1,27.9
Control,4,4,PR1,25.48
Control,4,5,PR1,25.22
Control,4,6,PR1,25.25
P. fluorescens,7,4,PR1,25.66
P. fluorescens,7,5,PR1,25.73
P. fluorescens,7,6,PR1,25.72
S. marcescens,7,4,PR1,25.76
S. marcescens,7,5,PR1,25.68
S. marcescens,7,6,PR1,25.63
B. subtilis,7,4,PR1,25.58
B. subtilis,7,5,PR1,25.5
B. subtilis,7,6,PR1,25.65
Control,7,4,PR1,25.12
Control,7,5,PR1,25.05
Control,7,6,PR1,25.01
P. fluorescens,10,4,PR1,24.49
P. fluorescens,10,5,PR1,24.52
P. fluorescens,10,6,PR1,24.42
S. marcescens,10,4,PR1,26.01
S. marcescens,10,5,PR1,25.91
S. marcescens,10,6,PR1,25.72
B. subtilis,10,4,PR1,24.68
B. subtilis,10,5,PR1,24.52
B. subtilis,10,6,PR1,24.78
Control,10,4,PR1,24.82
Control,10,5,PR1,24.77
Control,10,6,PR1,24.72
P. fluorescens,1,4,NPR1,24.79
P. fluorescens,1,5,NPR1,24.79
P. fluorescens,1,6,NPR1,24.95
S. marcescens,1,4,NPR1,25.25
S. marcescens,1,5,NPR1,25.22
S. marcescens,1,6,NPR1,25.3
B. subtilis,1,4,NPR1,24.53
B. subtilis,1,5,NPR1,25.01
B. subtilis,1,6,NPR1,24.48
Control,1,4,NPR1,25.74
Control,1,5,NPR1,25.57
Control,1,6,NPR1,25.66
P. fluorescens,4,4,NPR1,23.91
P. fluorescens,4,5,NPR1,24.03
P. fluorescens,4,6,NPR1,24.02
S. marcescens,4,4,NPR1,24.55
S. marcescens,4,5,NPR1,24.57
S. marcescens,4,6,NPR1,24.58
B. subtilis,4,4,NPR1,24.73
B. subtilis,4,5,NPR1,24.75
B. subtilis,4,6,NPR1,24.88
Control,4,4,NPR1,24.17
Control,4,5,NPR1,24.44
Control,4,6,NPR1,24.32
P. fluorescens,7,4,NPR1,23.67
P. fluorescens,7,5,NPR1,23.69
P. fluorescens,7,6,NPR1,23.74
S. marcescens,7,4,NPR1,24.03
S. marcescens,7,5,NPR1,24
S. marcescens,7,6,NPR1,24.08
B. subtilis,7,4,NPR1,24.21
B. subtilis,7,5,NPR1,24.28
B. subtilis,7,6,NPR1,24.2
Control,7,4,NPR1,24.05
Control,7,5,NPR1,23.91
Control,7,6,NPR1,24
P. fluorescens,10,4,NPR1,23.24
P. fluorescens,10,5,NPR1,23.34
P. fluorescens,10,6,NPR1,23.2
S. marcescens,10,4,NPR1,24.38
S. marcescens,10,5,NPR1,24.27
S. marcescens,10,6,NPR1,24.26
B. subtilis,10,4,NPR1,22.7
B. subtilis,10,5,NPR1,22.92
B. subtilis,10,6,NPR1,23.07
Control,10,4,NPR1,23.36
Control,10,5,NPR1,23.81
Control,10,6,NPR1,23.62
P. fluorescens,1,4,ICS1,25.69
P. fluorescens,1,5,ICS1,25.73
P. fluorescens,1,6,ICS1,25.83
S. marcescens,1,4,ICS1,25.16
S. marcescens,1,5,ICS1,25.13
S. marcescens,1,6,ICS1,25.16
B. subtilis,1,4,ICS1,24.54
B. subtilis,1,5,ICS1,24.53
B. subtilis,1,6,ICS1,24.55
Control,1,4,ICS1,25.01
Control,1,5,ICS1,25.04
Control,1,6,ICS1,25.32
P. fluorescens,4,4,ICS1,25.13
P. fluorescens,4,5,ICS1,25.23
P. fluorescens,4,6,ICS1,25.18
S. marcescens,4,4,ICS1,26.03
S. marcescens,4,5,ICS1,25.97
S. marcescens,4,6,ICS1,26.12
B. subtilis,4,4,ICS1,24.93
B. subtilis,4,5,ICS1,25.01
B. subtilis,4,6,ICS1,24.98
Control,4,4,ICS1,24.61
Control,4,5,ICS1,24.74
Control,4,6,ICS1,24.85
P. fluorescens,7,4,ICS1,25.59
P. fluorescens,7,5,ICS1,25.6
P. fluorescens,7,6,ICS1,25.71
S. marcescens,7,4,ICS1,25.22
S. marcescens,7,5,ICS1,25.16
S. marcescens,7,6,ICS1,25.3
B. subtilis,7,4,ICS1,24.96
B. subtilis,7,5,ICS1,24.99
B. subtilis,7,6,ICS1,24.93
Control,7,4,ICS1,24.9
Control,7,5,ICS1,24.67
Control,7,6,ICS1,24.64
P. fluorescens,10,4,ICS1,24.8
P. fluorescens,10,5,ICS1,25
P. fluorescens,10,6,ICS1,24.98
S. marcescens,10,4,ICS1,25.62
S. marcescens,10,5,ICS1,25.6
S. marcescens,10,6,ICS1,25.64
B. subtilis,10,4,ICS1,24.73
B. subtilis,10,5,ICS1,24.5
B. subtilis,10,6,ICS1,24.51
Control,10,4,ICS1,24.42
Control,10,5,ICS1,24.36
Control,10,6,ICS1,24.28
P. fluorescens,1,4,OPR3,26.12
P. fluorescens,1,5,OPR3,26.06
P. fluorescens,1,6,OPR3,26.14
S. marcescens,1,4,OPR3,25.92
S. marcescens,1,5,OPR3,26.08
S. marcescens,1,6,OPR3,26.43
B. subtilis,1,4,OPR3,25.48
B. subtilis,1,5,OPR3,25.51
B. subtilis,1,6,OPR3,26.43
Control,1,4,OPR3,26.18
Control,1,5,OPR3,26.31
Control,1,6,OPR3,26.53
P. fluorescens,4,4,OPR3,25.14
P. fluorescens,4,5,OPR3,24.9
P. fluorescens,4,6,OPR3,25.01
S. marcescens,4,4,OPR3,25.11
S. marcescens,4,5,OPR3,25.19
S. marcescens,4,6,OPR3,25.21
B. subtilis,4,4,OPR3,25.37
B. subtilis,4,5,OPR3,25.15
B. subtilis,4,6,OPR3,25.22
Control,4,4,OPR3,24.81
Control,4,5,OPR3,24.97
Control,4,6,OPR3,25.15
P. fluorescens,7,4,OPR3,25.28
P. fluorescens,7,5,OPR3,25.2
P. fluorescens,7,6,OPR3,25.27
S. marcescens,7,4,OPR3,25.1
S. marcescens,7,5,OPR3,25.25
S. marcescens,7,6,OPR3,25.12
B. subtilis,7,4,OPR3,25.25
B. subtilis,7,5,OPR3,25.46
B. subtilis,7,6,OPR3,25.37
Control,7,4,OPR3,25.16
Control,7,5,OPR3,25
Control,7,6,OPR3,24.9
P. fluorescens,10,4,OPR3,25.08
P. fluorescens,10,5,OPR3,25.04
P. fluorescens,10,6,OPR3,24.72
S. marcescens,10,4,OPR3,25.84
S. marcescens,10,5,OPR3,25.79
S. marcescens,10,6,OPR3,25.81
B. subtilis,10,4,OPR3,24.47
B. subtilis,10,5,OPR3,24.6
B. subtilis,10,6,OPR3,24.38
Control,10,4,OPR3,24.14
Control,10,5,OPR3,24.39
Control,10,6,OPR3,24.51
P. fluorescens,1,4,PDF1.2,27.22
P. fluorescens,1,5,PDF1.2,27.16
P. fluorescens,1,6,PDF1.2,27.14
S. marcescens,1,4,PDF1.2,26.61
S. marcescens,1,5,PDF1.2,26.67
S. marcescens,1,6,PDF1.2,26.94
B. subtilis,1,4,PDF1.2,26.72
B. subtilis,1,5,PDF1.2,26.75
B. subtilis,1,6,PDF1.2,26.71
Control,1,4,PDF1.2,27.46
Control,1,5,PDF1.2,27.54
Control,1,6,PDF1.2,27.96
P. fluorescens,4,4,PDF1.2,26.47
P. fluorescens,4,5,PDF1.2,26.39
P. fluorescens,4,6,PDF1.2,26.18
S. marcescens,4,4,PDF1.2,26.22
S. marcescens,4,5,PDF1.2,26.09
S. marcescens,4,6,PDF1.2,26.21
B. subtilis,4,4,PDF1.2,26.74
B. subtilis,4,5,PDF1.2,26.86
B. subtilis,4,6,PDF1.2,26.87
Control,4,4,PDF1.2,26.58
Control,4,5,PDF1.2,26.84
Control,4,6,PDF1.2,27.03
P. fluorescens,7,4,PDF1.2,26.43
P. fluorescens,7,5,PDF1.2,26.5
P. fluorescens,7,6,PDF1.2,26.28
S. marcescens,7,4,PDF1.2,26.13
S. marcescens,7,5,PDF1.2,26.07
S. marcescens,7,6,PDF1.2,26.2
B. subtilis,7,4,PDF1.2,27.09
B. subtilis,7,5,PDF1.2,26.91
B. subtilis,7,6,PDF1.2,27.11
Control,7,4,PDF1.2,27.2
Control,7,5,PDF1.2,26.98
Control,7,6,PDF1.2,27.13
P. fluorescens,10,4,PDF1.2,26.81
P. fluorescens,10,5,PDF1.2,26.83
P. fluorescens,10,6,PDF1.2,26.81
S. marcescens,10,4,PDF1.2,27.31
S. marcescens,10,5,PDF1.2,27.22
S. marcescens,10,6,PDF1.2,27.26
B. subtilis,10,4,PDF1.2,27.25
B. subtilis,10,5,PDF1.2,27.02
B. subtilis,10,6,PDF1.2,27.22
Control,10,4,PDF1.2,26.76
Control,10,5,PDF1.2,26.91
Control,10,6,PDF1.2,27.17
P. fluorescens,1,4,RdR1,27.74
P. fluorescens,1,5,RdR1,27.61
P. fluorescens,1,6,RdR1,27.86
S. marcescens,1,4,RdR1,28.37
S. marcescens,1,5,RdR1,28.35
S. marcescens,1,6,RdR1,28.49
B. subtilis,1,4,RdR1,27.32
B. subtilis,1,5,RdR1,27.18
B. subtilis,1,6,RdR1,27.2
Control,1,4,RdR1,27.02
Control,1,5,RdR1,27.03
Control,1,6,RdR1,27.1
P. fluorescens,4,4,RdR1,25.73
P. fluorescens,4,5,RdR1,25.69
P. fluorescens,4,6,RdR1,25.8
S. marcescens,4,4,RdR1,26.22
S. marcescens,4,5,RdR1,26.16
S. marcescens,4,6,RdR1,26.19
B. subtilis,4,4,RdR1,25.78
B. subtilis,4,5,RdR1,25.95
B. subtilis,4,6,RdR1,25.85
Control,4,4,RdR1,25.93
Control,4,5,RdR1,25.85
Control,4,6,RdR1,25.97
P. fluorescens,7,4,RdR1,25.17
P. fluorescens,7,5,RdR1,25.3
P. fluorescens,7,6,RdR1,25.22
S. marcescens,7,4,RdR1,26
S. marcescens,7,5,RdR1,25.63
S. marcescens,7,6,RdR1,
B. subtilis,7,4,RdR1,25.35
B. subtilis,7,5,RdR1,25.24
B. subtilis,7,6,RdR1,25.24
Control,7,4,RdR1,24.71
Control,7,5,RdR1,24.6
Control,7,6,RdR1,24.58
P. fluorescens,10,4,RdR1,25.1
P. fluorescens,10,5,RdR1,25.1
P. fluorescens,10,6,RdR1,25.05
S. marcescens,10,4,RdR1,26.9
S. marcescens,10,5,RdR1,26.64
S. marcescens,10,6,RdR1,26.78
B. subtilis,10,4,RdR1,23.73
B. subtilis,10,5,RdR1,23.93
B. subtilis,10,6,RdR1,24.08
Control,10,4,RdR1,24.38
Control,10,5,RdR1,24.82
Control,10,6,RdR1,24.62
P. fluorescens,1,4,UBQ,19.06
P. fluorescens,1,5,UBQ,19.08
P. fluorescens,1,6,UBQ,19.3
S. marcescens,1,4,UBQ,19.35
S. marcescens,1,5,UBQ,19.47
S. marcescens,1,6,UBQ,19.54
B. subtilis,1,4,UBQ,18.57
B. subtilis,1,5,UBQ,18.69
B. subtilis,1,6,UBQ,18.72
Control,1,4,UBQ,19.67
Control,1,5,UBQ,19.82
Control,1,6,UBQ,19.86
P. fluorescens,4,4,UBQ,18.66
P. fluorescens,4,5,UBQ,18.73
P. fluorescens,4,6,UBQ,18.55
S. marcescens,4,4,UBQ,18.75
S. marcescens,4,5,UBQ,18.67
S. marcescens,4,6,UBQ,19
B. subtilis,4,4,UBQ,19.09
B. subtilis,4,5,UBQ,19.21
B. subtilis,4,6,UBQ,19.21
Control,4,4,UBQ,18.81
Control,4,5,UBQ,18.69
Control,4,6,UBQ,18.76
P. fluorescens,7,4,UBQ,18.24
P. fluorescens,7,5,UBQ,18.26
P. fluorescens,7,6,UBQ,18.44
S. marcescens,7,4,UBQ,18.51
S. marcescens,7,5,UBQ,18.57
S. marcescens,7,6,UBQ,18.55
B. subtilis,7,4,UBQ,18.67
B. subtilis,7,5,UBQ,18.66
B. subtilis,7,6,UBQ,18.7
Control,7,4,UBQ,18.71
Control,7,5,UBQ,18.61
Control,7,6,UBQ,18.65
P. fluorescens,10,4,UBQ,18.53
P. fluorescens,10,5,UBQ,18.5
P. fluorescens,10,6,UBQ,18.59
S. marcescens,10,4,UBQ,19.42
S. marcescens,10,5,UBQ,19.42
S. marcescens,10,6,UBQ,19.38
B. subtilis,10,4,UBQ,18.52
B. subtilis,10,5,UBQ,18.5
B. subtilis,10,6,UBQ,18.56
Control,10,4,UBQ,18.75
Control,10,5,UBQ,18.46
Control,10,6,UBQ,18.86
P. fluorescens,1,7,PR1,26.52
P. fluorescens,1,8,PR1,26.43
P. fluorescens,1,9,PR1,26.59
S. marcescens,1,7,PR1,26.35
S. marcescens,1,8,PR1,26.27
S. marcescens,1,9,PR1,27.25
B. subtilis,1,7,PR1,26.24
B. subtilis,1,8,PR1,26.35
B. subtilis,1,9,PR1,26.12
Control,1,7,PR1,25.34
Control,1,8,PR1,25.24
Control,1,9,PR1,26.01
P. fluorescens,4,7,PR1,25.13
P. fluorescens,4,8,PR1,24.82
P. fluorescens,4,9,PR1,25.09
S. marcescens,4,7,PR1,26.15
S. marcescens,4,8,PR1,26.14
S. marcescens,4,9,PR1,27.25
B. subtilis,4,7,PR1,25.92
B. subtilis,4,8,PR1,25.93
B. subtilis,4,9,PR1,26.05
Control,4,7,PR1,25.79
Control,4,8,PR1,25.79
Control,4,9,PR1,26.76
P. fluorescens,7,7,PR1,25.78
P. fluorescens,7,8,PR1,25.2
P. fluorescens,7,9,PR1,25.22
S. marcescens,7,7,PR1,25.75
S. marcescens,7,8,PR1,25.79
S. marcescens,7,9,PR1,26.61
B. subtilis,7,7,PR1,25.34
B. subtilis,7,8,PR1,25.45
B. subtilis,7,9,PR1,25.48
Control,7,7,PR1,25.58
Control,7,8,PR1,25.43
Control,7,9,PR1,26.23
P. fluorescens,10,7,PR1,25.76
P. fluorescens,10,8,PR1,25.55
P. fluorescens,10,9,PR1,25.42
S. marcescens,10,7,PR1,25.41
S. marcescens,10,8,PR1,25.32
S. marcescens,10,9,PR1,26.37
B. subtilis,10,7,PR1,24.79
B. subtilis,10,8,PR1,24.86
B. subtilis,10,9,PR1,24.95
Control,10,7,PR1,24.01
Control,10,8,PR1,24.53
Control,10,9,PR1,24.87
P. fluorescens,1,7,NPR1,25.44
P. fluorescens,1,8,NPR1,25.36
P. fluorescens,1,9,NPR1,25.58
